n,price_med,ratio_med,ratio_mean
269,265270.8779563321,0.9822576544568367,0.9656100619587261
267,317697.20753549784,0.9998701270754659,0.9711749638571152
266,354280.19222533994,1.0143330837315157,0.9998529018226567
266,376988.70624707406,1.0221321337918727,1.0111253894642949
265,400248.4851819448,1.0193821924268505,1.005360991025951
268,432660.6235279746,1.0199928821700106,0.9988682145979612
265,470747.891845349,1.0219611054891504,1.0080298708653148
267,520028.76585047186,1.0105953664561307,1.0088781498201806
266,606416.5788685154,1.0021562751004016,0.9928428526714128
267,802600.0003683764,0.999078996842987,0.9845546963429737
