hood_cd,COD_2010-2015,COD_2016-2025,PRB_slope_2010-2015,PRB_slope_2016-2025,PRD_2010-2015,PRD_2016-2025,median_ratio_2010-2015,median_ratio_2016-2025,n_2010-2015,n_2016-2025,PRD_delta,COD_delta,Slope_delta,n_total
62000,27.372027400833126,24.31229507185549,-0.00755892903448328,-0.1373175177984424,0.9546885164021068,1.1871490345668152,0.5505279428380188,0.767056548765677,76.0,175.0,0.23246051816470836,-3.059732328977635,-0.12975858876395913,251.0
12031,9.895658737915578,8.813467530552943,-0.2330998431609364,-0.28312034961157234,1.0112341978784043,1.0130457164361968,1.122826030273501,1.0436462696505648,70.0,274.0,0.0018115185577924908,-1.0821912073626354,-0.05002050645063594,344.0
15042,5.988363043777146,4.8797079529518745,-0.45706667670444534,-0.3398694405743422,1.0052849395558083,1.00531498667209,0.9388755800765451,0.9971350516189049,76.0,103.0,3.0047116281739505e-05,-1.1086550908252715,0.11719723613010313,179.0
15062,5.745452002890286,4.985115658186461,-0.14118284372407822,-0.07864213425525574,1.0046327014254226,1.0019385388740627,0.991741479898428,1.0146588752039554,137.0,274.0,-0.002694162551359902,-0.7603363447038243,0.06254070946882248,411.0
12051,9.24137679271992,6.866938496728115,-0.38298821866124194,-0.21383573658212815,1.0135544616183483,1.008772300662339,1.0992331937755788,1.0397952394945635,75.0,233.0,-0.0047821609560092515,-2.374438295991806,0.1691524820791138,308.0
11142,4.1796305900372985,5.205714217715282,-0.28198831415681314,-0.11173561141684128,1.0079905269377778,1.0031919678629149,0.8854103455947274,0.9774778956810087,57.0,116.0,-0.004798559074862929,1.0260836276779832,0.17025270273997184,173.0
12082,7.941168501817014,6.030333275076501,-0.18409707712106327,-0.08636564919788757,1.0068930232000628,1.0019184189834864,0.9391317995699179,1.0052576572198535,73.0,250.0,-0.0049746042165763615,-1.910835226740513,0.0977314279231757,323.0
11111,8.937177866167934,6.708113074359121,-0.2004811391492168,-0.17418966410229236,1.0106071562343035,1.0055683320850746,1.0663404951507758,1.046950781747976,56.0,178.0,-0.00503882414922896,-2.2290647918088133,0.026291475046924445,234.0
16192,6.47555061800419,7.5496086716570545,-0.1621997817985283,-0.024990745265292654,1.006712224236064,1.001428083020903,0.8268665819689016,0.9227427753349163,62.0,115.0,-0.005284141215160965,1.0740580536528643,0.13720903653323563,177.0
16032,15.672519688780731,9.561681034548108,-0.22511503922649487,-0.1259205134121965,1.0096725553372004,1.004200447050516,0.6822182734742698,0.7885112914778379,51.0,151.0,-0.0054721082866844295,-6.110838654232623,0.09919452581429836,202.0
12081,8.196826119082733,5.659076316570081,-0.28896290313286094,-0.15346824042357962,1.0090499304975893,1.003433835988677,0.9887997734770553,0.990497281553113,102.0,346.0,-0.005616094508912317,-2.5377498025126517,0.13549466270928132,448.0
15061,5.14574742867679,4.175225531582417,-0.22022730826301523,-0.12104289743854427,1.0090382015273136,1.0030730481184706,1.0242065568390948,1.0095742105947598,269.0,505.0,-0.00596515340884296,-0.9705218970943728,0.09918441082447096,774.0
15041,5.86544072534582,5.194097322761142,-0.43848262019296697,-0.24492078597067127,1.0134544492510271,1.0072930331263577,0.8797105357159318,0.9865833829896976,117.0,337.0,-0.006161416124669472,-0.6713434025846778,0.1935618342222957,454.0
13102,6.771633850085768,6.0260720615104875,-0.2371022746741013,-0.0902375623175281,1.0127752713037155,1.00619289988138,0.9093236053862509,1.0039573594759266,87.0,250.0,-0.00658237142233542,-0.7455617885752801,0.14686471235657322,337.0
11140,5.504786175747051,4.54377347464793,-0.20413837182071332,-0.07897063154428603,1.0079981374277907,1.0010533683723872,0.921572405120482,1.0071353284712092,111.0,262.0,-0.006944769055403421,-0.9610127010991212,0.1251677402764273,373.0
