n,price_med,ratio_med,ratio_mean
207,200588.0694405285,1.2176677924196788,1.286727008507068
204,276321.7875440797,1.0425261665922951,1.0443292924084082
205,325581.89293954446,1.0283777143869597,1.0493184506677733
205,362079.47219417646,0.9742890912683024,0.9824104621238025
206,401164.4521458918,0.9727786706640115,0.9565759618853519
206,455095.49284728605,0.9313822648878469,0.9371897714491833
204,518011.12281970365,0.9113768181210304,0.9079365104183367
205,585654.2286049725,0.9087062974410732,0.9128837217531433
205,682668.8455640813,0.8942283650642481,0.9096095688168507
206,944595.1757625495,0.786720672265796,0.7707155162319731
