n,price_med,ratio_med,ratio_mean
286,243625.02293157222,1.058241406015671,1.1415083115690596
287,299597.3899763987,1.0144956325301204,1.0109747772375675
284,340553.0412294226,1.0362675560992654,1.011885947259001
287,369948.1941004114,1.0286319735080673,1.0206174768500356
284,400590.15065159963,1.0167185964646022,1.0055719026822474
289,434112.24946536036,1.018212622547332,1.0153743555808625
282,474092.53564371186,1.0188103146211573,1.0207392815551353
287,517703.17372959096,1.018299244454742,1.0047507539047986
284,598843.2565850653,1.0093832924662365,0.9984395661414143
286,745681.2915183716,0.95562855898138,0.9475183419337854
