n,price_med,ratio_med,ratio_mean
291,263155.7848718769,0.9367440191599731,0.9899694830807919
291,318018.45492293657,0.9586913840767408,0.9411228283813747
290,349361.99026094005,0.9849481379885501,0.9436574210677268
292,376154.7817933939,0.9952304588933942,0.9566432228308132
290,399082.1650786953,0.9976239879675417,0.9526853274461373
290,430388.54590012715,1.0034224680267472,0.9801813842015804
291,469360.54154515645,1.029741660531013,0.9925769351216429
290,533161.6493066591,1.0054084695111953,0.9798064878369246
291,637496.1870925126,0.9970695796519412,0.9772643692391637
291,874280.485155446,0.9479332080220749,0.8870660824282446
