n,price_med,ratio_med,ratio_mean
244,222126.5483081367,1.1152653559833863,1.207116822877831
244,288447.38222792,1.008663615117404,1.0191034242716777
243,327148.2916982687,1.0068194500669345,0.9994492120851645
244,361730.8766046367,1.0094296388397779,1.0197923909269373
243,398825.413774693,0.9802126922959012,0.9924360148700693
246,436540.9560368267,0.9953436902819877,0.9966236207092121
243,484439.79610726645,0.9763166356565501,0.9769379968225589
243,545038.9232231994,0.9675138706367559,0.9689700531815431
242,627338.9323143188,0.9507191024552742,0.9603704018118755
244,823975.8164808493,0.9273639762217523,0.9317464993552188
