n,price_med,ratio_med,ratio_mean
224,207028.3915636803,1.079914411608067,1.1956372419351424
223,276887.8552220365,1.0400856589787721,1.0499080922686648
223,320326.6722075669,1.0296998730158728,1.0274760633778395
224,356478.72647329106,0.9991042523324065,0.9933584576156204
223,398060.0420582358,0.9756342060103466,0.9723348303877596
223,448488.3505509338,0.9427527275584552,0.935377926853218
224,499062.818000432,0.9300919640827461,0.916144583227207
223,564481.3338696114,0.9227864845776268,0.920849505647913
223,660155.5717356127,0.8847503199169425,0.8848563582499944
224,844042.8618302356,0.8294460550971212,0.8160382636187186
