year,n,median_ratio,COD,PRD,PRB_slope,PRB_p
2010.0,1084.0,0.8898442453061204,12.882305061390461,1.089126573118386,-0.30610851568912767,4.516570688451798e-90
2011.0,993.0,0.9238823117975256,12.300701465916113,1.1309691083181426,-0.2566407601396651,4.4910022235214594e-72
2012.0,1193.0,0.9521548207063126,13.041119334786737,1.197061406483295,-0.2795402291828916,2.490778265923277e-112
2013.0,1513.0,0.9476814975667668,11.746414021670637,1.089819441964604,-0.2578767754275389,8.606118929054892e-105
2014.0,1562.0,0.9136119534713834,12.191185632649235,1.1292933524373228,-0.289002887456321,8.599223374075678e-128
2015.0,2053.0,0.9519687150139018,11.048443873891271,1.126598119042411,-0.23634986406612798,3.801229537590827e-115
2016.0,2234.0,0.9537824320286139,10.271065682338437,1.0721950670705491,-0.20366858606586855,7.628076579698677e-110
2017.0,2327.0,0.969754004908523,9.334789997572225,1.0666919745190375,-0.18350685042016138,5.135513116309183e-115
2018.0,2436.0,0.9826241606508397,8.017631179320201,1.0353985228513727,-0.14406260451183261,2.8432249054526604e-69
2019.0,2301.0,1.0037315262414848,7.216521857070594,1.0317562471685093,-0.11156574744822864,4.441416756375764e-51
2020.0,2856.0,1.0158538246710327,7.61564902757224,1.0288123668031837,-0.1221443113463626,3.513056473897889e-58
2021.0,2521.0,0.9657767570281124,8.225072966966279,1.0438387072291504,-0.0982348047430279,3.3599927554643575e-34
2022.0,2326.0,0.9977189727489024,7.060654137136894,1.0081531777396706,-0.0239124835433119,0.0017065943020210387
2023.0,2154.0,0.994512292492191,4.626853718648128,0.9991784177067895,0.026518505325672657,0.0006245456017068639
2024.0,2666.0,1.010851354646353,4.257204968358362,1.004314003042606,0.0029687023198632085,0.59520587796675
2025.0,2907.0,0.990901051212148,6.995482162906699,1.0523401979508629,-0.09479125299357105,9.663039888481928e-23
