matrix_id,matrix_yr,axis_1_value,axis_2_value,new_cell_value,matrix_name,cell_key,current_value,delta
221,2026,POOR,70,39.0,RES_depre_matrix,POOR | 70,80.0,-41.0
221,2026,POOR,75,40.0,RES_depre_matrix,POOR | 75,80.0,-40.0
221,2026,POOR,999,40.0,RES_depre_matrix,POOR | 999,80.0,-40.0
221,2026,VGO,20,0.0,RES_depre_matrix,VGO | 20,5.0,-5.0
221,2026,VGO,24,0.0,RES_depre_matrix,VGO | 24,7.0,-7.0
221,2026,VGO,27,0.0,RES_depre_matrix,VGO | 27,8.0,-8.0
221,2026,VGO,30,0.0,RES_depre_matrix,VGO | 30,10.0,-10.0
221,2026,VGO,35,0.0,RES_depre_matrix,VGO | 35,12.0,-12.0
221,2026,VGO,38,0.0,RES_depre_matrix,VGO | 38,14.0,-14.0
221,2026,VGO,40,0.0,RES_depre_matrix,VGO | 40,16.0,-16.0
221,2026,VGO,45,0.0,RES_depre_matrix,VGO | 45,18.0,-18.0
221,2026,VGO,50,0.0,RES_depre_matrix,VGO | 50,20.0,-20.0
221,2026,VGO,60,1.0,RES_depre_matrix,VGO | 60,22.0,-21.0
221,2026,VGO,70,4.0,RES_depre_matrix,VGO | 70,25.0,-21.0
221,2026,VGO,75,6.0,RES_depre_matrix,VGO | 75,30.0,-24.0
221,2026,VGO,999,6.0,RES_depre_matrix,VGO | 999,30.0,-24.0
221,2026,VPO,0,42.0,RES_depre_matrix,VPO | 0,15.0,27.0
221,2026,VPO,10,44.0,RES_depre_matrix,VPO | 10,25.0,19.0
221,2026,VPO,12,45.0,RES_depre_matrix,VPO | 12,27.0,18.0
221,2026,VPO,15,45.0,RES_depre_matrix,VPO | 15,30.0,15.0
221,2026,VPO,18,46.0,RES_depre_matrix,VPO | 18,35.0,11.0
221,2026,VPO,20,46.0,RES_depre_matrix,VPO | 20,40.0,6.0
221,2026,VPO,27,47.0,RES_depre_matrix,VPO | 27,55.0,-8.0
221,2026,VPO,30,48.0,RES_depre_matrix,VPO | 30,60.0,-12.0
221,2026,VPO,35,49.0,RES_depre_matrix,VPO | 35,65.0,-16.0
221,2026,VPO,38,49.0,RES_depre_matrix,VPO | 38,70.0,-21.0
221,2026,VPO,40,50.0,RES_depre_matrix,VPO | 40,75.0,-25.0
221,2026,VPO,45,50.0,RES_depre_matrix,VPO | 45,80.0,-30.0
221,2026,VPO,5,43.0,RES_depre_matrix,VPO | 5,17.0,26.0
221,2026,VPO,50,51.0,RES_depre_matrix,VPO | 50,85.0,-34.0
221,2026,VPO,60,53.0,RES_depre_matrix,VPO | 60,90.0,-37.0
221,2026,VPO,70,55.0,RES_depre_matrix,VPO | 70,90.0,-35.0
221,2026,VPO,75,55.0,RES_depre_matrix,VPO | 75,90.0,-35.0
221,2026,VPO,999,55.0,RES_depre_matrix,VPO | 999,90.0,-35.0
3249,2026,Avg,1200,56.27829398374655,RES - BSMT,Avg | 1200,22.77,33.508293983746555
3249,2026,Avg,1600,55.93227021748724,RES - BSMT,Avg | 1600,22.63,33.30227021748725
3249,2026,Avg,200,73.1593105805401,RES - BSMT,Avg | 200,29.6,43.55931058054009
3249,2026,Avg,2400,54.00442351975679,RES - BSMT,Avg | 2400,21.85,32.15442351975679
3249,2026,Avg,2800,2.471598330423652,RES - BSMT,Avg | 2800,1.0,1.4715983304236522
3249,2026,Avg,3200,2.471598330423652,RES - BSMT,Avg | 3200,1.0,1.4715983304236522
3249,2026,Avg,400,64.45928445744883,RES - BSMT,Avg | 400,26.08,38.37928445744883
3249,2026,Avg,600,2.471598330423652,RES - BSMT,Avg | 600,1.0,1.4715983304236522
3249,2026,Avg,800,56.99505749956941,RES - BSMT,Avg | 800,23.06,33.93505749956941
3249,2026,Chp,1200,47.14111928223168,RES - BSMT,Chp | 1200,12.47,34.67111928223168
3249,2026,Chp,1600,46.4606540480054,RES - BSMT,Chp | 1600,12.29,34.1706540480054
3249,2026,Chp,200,64.34176825850707,RES - BSMT,Chp | 200,17.02,47.32176825850708
3249,2026,Chp,2400,42.18884452202932,RES - BSMT,Chp | 2400,11.16,31.02884452202932
3249,2026,Chp,2800,3.780362412368218,RES - BSMT,Chp | 2800,1.0,2.780362412368218
3249,2026,Chp,3200,3.780362412368218,RES - BSMT,Chp | 3200,1.0,2.780362412368218
3249,2026,Chp,400,57.12127605088378,RES - BSMT,Chp | 400,15.11,42.01127605088378
3249,2026,Chp,600,3.780362412368218,RES - BSMT,Chp | 600,1.0,2.780362412368218
3249,2026,Chp,800,50.80807082222886,RES - BSMT,Chp | 800,13.44,37.368070822228866
3249,2026,Fair,1200,79.32162277085057,RES - BSMT,Fair | 1200,19.87,59.45162277085056
3249,2026,Fair,1600,78.8425792513487,RES - BSMT,Fair | 1600,19.75,59.092579251348695
3249,2026,Fair,200,102.3556320002319,RES - BSMT,Fair | 200,25.64,76.7156320002319
3249,2026,Fair,2400,76.28768048067208,RES - BSMT,Fair | 2400,19.11,57.17768048067208
3249,2026,Fair,2800,3.992029329182213,RES - BSMT,Fair | 2800,1.0,2.992029329182213
3249,2026,Fair,3200,3.992029329182213,RES - BSMT,Fair | 3200,1.0,2.992029329182213
3249,2026,Fair,400,90.21986283951802,RES - BSMT,Fair | 400,22.6,67.61986283951802
3249,2026,Fair,600,3.992029329182213,RES - BSMT,Fair | 600,1.0,2.992029329182213
3249,2026,Fair,800,80.23978951656248,RES - BSMT,Fair | 800,20.1,60.13978951656248
3249,2026,Good,1200,50.83359407772808,RES - BSMT,Good | 1200,34.1,16.73359407772808
3249,2026,Good,1600,50.07332624841309,RES - BSMT,Good | 1600,33.59,16.483326248413086
3249,2026,Good,200,62.65501346295927,RES - BSMT,Good | 200,42.03,20.625013462959267
3249,2026,Good,2400,49.10435744634495,RES - BSMT,Good | 2400,32.94,16.16435744634495
3249,2026,Good,2800,1.49072123395097,RES - BSMT,Good | 2800,1.0,0.4907212339509699
3249,2026,Good,3200,1.49072123395097,RES - BSMT,Good | 3200,1.0,0.4907212339509699
3249,2026,Good,400,56.06602560889598,RES - BSMT,Good | 400,37.61,18.456025608895978
3249,2026,Good,600,1.49072123395097,RES - BSMT,Good | 600,1.0,0.4907212339509699
3249,2026,Good,800,52.33922252401856,RES - BSMT,Good | 800,35.11,17.22922252401856
3249,2026,Low,1200,71.38946049376551,RES - BSMT,Low | 1200,17.11,54.27946049376551
3249,2026,Low,1600,70.22119346055368,RES - BSMT,Low | 1600,16.83,53.39119346055368
3249,2026,Low,200,93.46136265694608,RES - BSMT,Low | 200,22.4,71.06136265694607
3249,2026,Low,2400,66.67466853830351,RES - BSMT,Low | 2400,15.98,50.6946685383035
3249,2026,Low,2800,4.172382261470807,RES - BSMT,Low | 2800,1.0,3.1723822614708066
3249,2026,Low,3200,4.172382261470807,RES - BSMT,Low | 3200,1.0,3.1723822614708066
3249,2026,Low,400,82.40454966404845,RES - BSMT,Low | 400,19.75,62.654549664048446
3249,2026,Low,600,4.172382261470807,RES - BSMT,Low | 600,1.0,3.1723822614708066
3249,2026,Low,800,73.72599456018918,RES - BSMT,Low | 800,17.67,56.05599456018918
3249,2026,VGd,1200,73.64344604131844,RES - BSMT,VGd | 1200,37.62,36.023446041318444
3249,2026,VGd,1600,72.29272892891787,RES - BSMT,VGd | 1600,36.93,35.36272892891787
3249,2026,VGd,200,85.34966101545679,RES - BSMT,VGd | 200,43.6,41.74966101545679
3249,2026,VGd,2400,71.43140207463344,RES - BSMT,VGd | 2400,36.49,34.94140207463344
