year,n,sale_min,sale_max,median_ratio,mean_ratio
2010,103,35000.0,118500.0,2.25,2.26126213592233
2010,104,119000.0,144000.0,2.1399999999999997,2.165192307692308
2010,103,144900.0,160000.0,2.2,2.166116504854369
2010,105,161180.0,178000.0,2.16,2.1254285714285714
2010,100,178065.0,195775.0,2.08,2.0183
2010,103,196000.0,223000.0,2.0,1.9836893203883494
2010,110,223500.0,250000.0,1.9,1.8536363636363637
2010,97,250365.0,292000.0,1.87,1.8402061855670102
2010,102,292175.0,356000.0,1.74,1.7333333333333334
2010,103,356500.0,2500000.0,1.58,1.4674757281553399
