year,n,sale_min,sale_max,median_ratio,mean_ratio
2014,156,12000.0,123000.0,2.2350000000000003,2.102820512820513
2014,150,124000.0,147000.0,2.19,2.1633333333333336
2014,155,147255.0,165000.0,2.11,2.047548387096774
2014,151,165162.0,183500.0,2.1,2.077549668874172
2014,151,184000.0,214200.0,1.97,1.9421192052980132
2014,159,214500.0,240000.0,1.95,1.876792452830189
2014,147,240180.0,269000.0,1.83,1.8245578231292516
2014,154,269900.0,310000.0,1.83,1.8025974025974028
2014,150,312000.0,390000.0,1.7650000000000001,1.7710666666666668
2014,153,394950.0,14276000.0,1.48,1.2944444444444445
