year,n,sale_min,sale_max,median_ratio,mean_ratio
2024,278,49150.0,305000.0,0.92,0.9225179856115108
2024,276,307000.0,353965.0,0.925,0.8968478260869566
2024,277,354000.0,388500.0,0.95,0.9316606498194946
2024,276,389000.0,411639.0,0.94,0.9354710144927536
2024,285,411999.0,440000.0,0.95,0.9378596491228071
2024,271,440340.0,479900.0,0.96,0.9381180811808117
2024,276,479950.0,525000.0,0.94,0.9278260869565217
2024,276,525190.0,595000.0,0.94,0.9376811594202898
2024,276,595500.0,715000.0,0.94,0.9281521739130435
2024,277,719000.0,14000000.0,0.93,0.9091696750902527
