year,n,sale_min,sale_max,median_ratio,mean_ratio
2012,116,18700.0,119500.0,2.35,2.2526724137931033
2012,117,119900.0,143000.0,2.2,2.1503418803418803
2012,112,143200.0,163000.0,2.19,2.171160714285714
2012,117,163500.0,179900.0,2.17,2.1597435897435897
2012,113,179950.0,203000.0,2.12,2.0846017699115045
2012,115,203867.0,235000.0,2.02,2.005913043478261
2012,114,235044.0,271340.0,1.935,1.8600877192982457
2012,115,271900.0,323900.0,1.86,1.7888695652173914
2012,115,324000.0,406455.0,1.72,1.731391304347826
2012,115,410000.0,11300000.0,1.39,1.2713043478260868
