year,n,sale_min,sale_max,median_ratio,mean_ratio
2020,287,20000.0,222500.0,1.32,1.3986062717770034
2020,309,222900.0,260000.0,1.28,1.2732362459546926
2020,278,260400.0,285000.0,1.3,1.2614028776978419
2020,294,285109.0,310000.0,1.26,1.2535374149659864
2020,267,310340.0,335033.0,1.26,1.2564044943820223
2020,300,335990.0,365000.0,1.26,1.2555333333333334
2020,273,365500.0,396850.0,1.27,1.2726007326007327
2020,287,397000.0,444000.0,1.24,1.2326829268292683
2020,291,444980.0,525000.0,1.25,1.2471821305841924
2020,283,525055.0,7400000.0,1.18,1.172190812720848
