year,n,sale_min,sale_max,median_ratio,mean_ratio
2013,149,14000.0,125000.0,2.24,2.1758389261744964
2013,142,125080.0,149000.0,2.1500000000000004,2.137394366197183
2013,145,149400.0,164900.0,2.13,2.1011034482758624
2013,143,164990.0,182500.0,2.07,2.081538461538462
2013,148,182900.0,205000.0,2.05,2.047364864864865
2013,140,205499.0,233000.0,1.99,1.9919285714285715
2013,144,233500.0,262623.0,1.93,1.9375694444444445
2013,144,262900.0,301822.0,1.84,1.8345833333333335
2013,146,303449.0,369000.0,1.79,1.8002739726027395
2013,143,369900.0,9400000.0,1.61,1.5354545454545454
