year,n,sale_min,sale_max,median_ratio,mean_ratio
2023,220,75000.0,300000.0,0.94,0.9345
2023,214,300900.0,343900.0,0.95,0.9049532710280374
2023,221,344000.0,375000.0,0.96,0.9263348416289593
2023,214,375500.0,400000.0,0.95,0.9387383177570093
2023,228,400136.0,435000.0,0.96,0.9449561403508772
2023,206,435164.0,470000.0,0.95,0.9421844660194175
2023,214,470900.0,515000.0,0.96,0.9446261682242991
2023,220,515900.0,585000.0,0.955,0.9457727272727272
2023,218,587500.0,700000.0,0.95,0.9411009174311926
2023,213,704500.0,5900000.0,0.95,0.9457746478873239
