year,n,sale_min,sale_max,median_ratio,mean_ratio
2018,253,10500.0,175000.0,1.63,1.6979446640316205
2018,237,176500.0,209000.0,1.49,1.5051898734177216
2018,250,209500.0,230000.0,1.49,1.478
2018,240,230500.0,256250.0,1.48,1.492625
2018,245,256500.0,281905.0,1.45,1.4680000000000002
2018,259,282000.0,310000.0,1.47,1.4722007722007722
2018,237,310800.0,345000.0,1.44,1.4376793248945148
2018,243,345500.0,395000.0,1.43,1.434320987654321
2018,242,395912.0,467500.0,1.41,1.4146694214876034
2018,243,468000.0,5050000.0,1.37,1.3763374485596707
