year,n,sale_min,sale_max,median_ratio,mean_ratio
2011,95,25500.0,120000.0,2.14,2.0814736842105264
2011,96,120500.0,145000.0,2.1550000000000002,2.1218749999999997
2011,91,145500.0,159900.0,2.22,2.1562637362637362
2011,94,160000.0,176900.0,2.185,2.153936170212766
2011,92,177000.0,195000.0,2.1550000000000002,2.0645652173913045
2011,94,195100.0,226000.0,2.005,1.9634042553191489
2011,93,226450.0,256615.0,1.88,1.9156989247311829
2011,94,256715.0,295000.0,1.96,1.920531914893617
2011,94,295910.0,362795.0,1.78,1.784255319148936
2011,93,363000.0,11000000.0,1.57,1.5097849462365591
