year,n,sale_min,sale_max,median_ratio,mean_ratio
2017,234,27500.0,150000.0,1.9,1.9494444444444445
2017,236,152000.0,180000.0,1.69,1.7035169491525421
2017,232,181000.0,207400.0,1.69,1.6588362068965519
2017,233,207500.0,230940.0,1.61,1.6071673819742491
2017,236,232000.0,256000.0,1.6150000000000002,1.6120338983050848
2017,232,256900.0,287000.0,1.55,1.5301724137931034
2017,233,287500.0,319280.0,1.56,1.5507296137339055
2017,237,319367.0,365000.0,1.53,1.538227848101266
2017,231,365509.0,430002.0,1.5,1.4884848484848483
2017,234,431000.0,9887000.0,1.43,1.4271367521367522
