year,n,sale_min,sale_max,median_ratio,mean_ratio
2019,236,25000.0,202000.0,1.4449999999999998,1.5343220338983052
2019,236,202900.0,236000.0,1.4,1.3885593220338983
2019,234,236900.0,261402.0,1.375,1.3638034188034187
2019,255,262000.0,290000.0,1.37,1.370392156862745
2019,215,290500.0,310333.0,1.36,1.3541395348837209
2019,236,311340.0,339900.0,1.3650000000000002,1.3622033898305086
2019,237,340000.0,375000.0,1.35,1.3434177215189873
2019,243,375051.0,420000.0,1.35,1.3641152263374485
2019,226,421000.0,499900.0,1.32,1.3161061946902655
2019,233,499950.0,10450000.0,1.29,1.2983690987124463
