year,n,sale_min,sale_max,median_ratio,mean_ratio
2015,202,20000.0,130000.0,2.11,2.0794554455445544
2015,199,131000.0,158000.0,2.04,2.0159798994974873
2015,200,158027.0,178000.0,1.995,1.9746000000000001
2015,200,178200.0,196900.0,1.9249999999999998,1.91055
2015,200,197000.0,220200.0,1.89,1.8429
2015,201,220500.0,250000.0,1.8,1.7628855721393033
2015,199,250117.0,282250.0,1.8,1.800251256281407
2015,200,282375.0,323850.0,1.8,1.7863
2015,202,324000.0,399900.0,1.75,1.7690594059405942
2015,199,400000.0,15928400.0,1.47,1.3674371859296484
