year,n,sale_min,sale_max,median_ratio,mean_ratio
2025,320,53676.0,300000.0,0.85,0.88396875
2025,297,301500.0,352000.0,0.87,0.8607744107744107
2025,304,352500.0,387000.0,0.89,0.8493092105263158
2025,313,387900.0,415000.0,0.92,0.8785942492012779
2025,301,415007.0,444900.0,0.92,0.8791694352159468
2025,307,444990.0,483850.0,0.92,0.8958957654723128
2025,321,483900.0,540000.0,0.94,0.9069470404984423
2025,294,540044.0,620000.0,0.92,0.8929931972789117
2025,307,622000.0,775000.0,0.91,0.8928338762214985
2025,306,777000.0,28500000.0,0.875,0.8278104575163399
