year,n,sale_min,sale_max,median_ratio,mean_ratio
2022,259,24836.0,300000.0,0.97,0.9994208494208495
2022,218,301000.0,340000.0,0.96,0.9314220183486239
2022,229,340400.0,376000.0,0.95,0.9500873362445414
2022,236,376500.0,401000.0,0.94,0.9479661016949152
2022,236,401005.0,435000.0,0.97,0.9597033898305085
2022,233,435150.0,479000.0,0.97,0.9526609442060086
2022,235,479900.0,529900.0,0.95,0.9464680851063829
2022,240,529999.0,600000.0,0.96,0.95425
2022,234,601500.0,720000.0,0.95,0.9478205128205128
2022,231,722000.0,10000000.0,0.94,0.9323376623376624
