year,n,sale_min,sale_max,median_ratio,mean_ratio
2021,255,16696.0,252000.0,1.15,1.2187450980392158
2021,260,253500.0,295000.0,1.1,1.0948846153846155
2021,245,295500.0,320500.0,1.09,1.0833877551020408
2021,285,321000.0,350000.0,1.09,1.0916842105263158
2021,221,350620.0,370501.0,1.12,1.1033484162895928
2021,270,371000.0,405000.0,1.07,1.0754444444444444
2021,249,405083.0,450000.0,1.09,1.0839357429718874
2021,244,450078.0,510000.0,1.09,1.079877049180328
2021,252,510940.0,625000.0,1.0550000000000002,1.0546031746031745
2021,251,626000.0,12500000.0,1.03,1.0322709163346615
